Designator,Footprint,Quantity,Value,LCSC Part #
"C15, C22, C33, C38, C40, C45, C46, C47",1206,8,10uF,C13585
"C23, C25, C27, C29, C30, C31, C34, C35, C37, C39, C41, C42, C43",1206,13,100nF,C24497
CN1,C5155561_AUDIO-TH_PJ-393-8P,1,AUDIO_IN,C5155561
CN2,C5155561_AUDIO-TH_PJ-393-8P,1,AUDIO_OUT,C5155561
"FB2, FB3",0805,2,GZ2012D101TF,C1015
"H1, H2",MountingHole_2.2mm_M2_Pad_Via,2,MountingHole_Pad,
J2,HexpansionPads1x05,1,Conn_01x05_Pin,
J3,HexpansionPads1x03,1,Conn_01x03_Pin,
J4,HexpansionPads1x01,1,Conn_01x01_Pin,
"LED1, LED2",C5378731_LED-SMD_4P-L3_2-W2_8_SK6812MINI-EA,2,SK6812MINI-EA,C5378731
MIC1,C481302_MIC-SMD_4P-L2_8-W1_9-P1_84-TL,1,ZTS6216,C481302
"R1, R7, R8",1206,3,470R, C17710
"R10, R2, R3, R4, R5",1206,5,4.7k,C17936 
R9,1206,1,47k,C17936 
RJ1,C5341200_RJ45-TH_HC-RJ45-5JA-2-6-S,1,HC-RJ45-5JA-2-6-S,C5341200
"SW1, SW2",C318884_SW-SMD_4P-L5_1-W5_1-P3_70-LS6_5-TL_H1_5,2,TS-1187A-B-A-B,C318884
U1,VQFN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm,1,TLV320AIC3100,C478458
U2,C37323747_JOYTICK-TH_YV13S-L7_85-B10KA-60--0-DL01,1,YV13S-L7.85-B10KA(60)-0-DL01,C37323747
U3,C5350143_COMM-SMD_RP2040-ZERO,1,RP2040-ZERO,C5350143
U4,SOT-223-3_TabPin2,1,AMS1117-1.8,C347220
