Reference	Qty	Value	DNP	Exclude from BOM	Exclude from Board	Footprint	LCSC
C15,C22,C24,C26,C28,C33,C38,C40,C44,C45,C46,C47	12	10uF				Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder	C33546013 
C23,C25,C27,C29,C30,C31,C34,C35,C37,C39,C41,C42,C43,C48	14	100nF				Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder	C24497
CN1	1	AUDIO_IN				lcsc_footprints:C5155561_AUDIO-TH_PJ-393-8P	C49284725
CN2	1	AUDIO_OUT				lcsc_footprints:C5155561_AUDIO-TH_PJ-393-8P	C49284725
FB2,FB3	2	BLM21PG221SN1D				Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder	C85840
JP2	1	RP2040_VOLTAGE_JUMPER				Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical	C32713269
JP3	1	3V3_NET_VOLTAGE_JUMPER				Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical	C32713269
JP4	1	SPEAKER_VOLTAGE_JUMPER				Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical	C32713269
JP5	1	LED_VOLTAGE_JUMPER				Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical	C32713269
LED1,LED2	2	SK6812MINI-EA				lcsc_footprints:C5378731_LED-SMD_4P-L3_2-W2_8_SK6812MINI-EA	C5378731
LS1	1	Speaker				lcsc_footprints:Speaker_XHXDZ-2840-4Ω3W	C50387235
MIC1	1	MSM381ACB026				lcsc_footprints:C51928208_MIC-SMD_L2_8-W1_9_MSM381ACB026	C51928208
R1,R7,R8	3	470R				Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder	C2933707 
R2,R3,R4,R5,R10	5	4.7k				Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder	C2907387 
R9	1	47k				Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder	C2933708 
RJ1	1	HC-RJ45-5JA-2-6-S				lcsc_footprints:C5341200_RJ45-TH_HC-RJ45-5JA-2-6-S	C5341200
SW1,SW2	2	TS-1187A-B-A-B				lcsc_footprints:C318884_SW-SMD_4P-L5_1-W5_1-P3_70-LS6_5-TL_H1_5	C318884
U1	1	TLV320AIC3100				Package_DFN_QFN:VQFN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm_ThermalVias	C478458
U2	1	YV13S-L7.85-B10KA(60)-0-DL01				lcsc_footprints:C37323747_JOYTICK-TH_YV13S-L7_85-B10KA-60--0-DL01	C37323747
U4	1	AMS1117-1.8				Package_TO_SOT_SMD:SOT-223-3_TabPin2	C347220
