Designator,Mid X,Mid Y,Rotation,Layer
C15,102.997,-45.593,90.0,bottom
C22,72.644,-26.162,90.0,bottom
C23,72.644,-31.242,90.0,bottom
C24,82.804,-53.975,270.0,bottom
C25,84.709,-37.465,180.0,bottom
C26,86.36,-44.323,180.0,bottom
C27,77.597,-53.3785,180.0,bottom
C28,82.55,-26.162,90.0,bottom
C29,80.645,-44.323,180.0,bottom
C30,97.028,-36.195,0.0,bottom
C31,67.183,-41.656,270.0,bottom
C33,107.7845,-26.504,0.0,bottom
C34,82.55,-31.2805,90.0,bottom
C35,107.823,-29.718,0.0,bottom
C37,133.7695,-53.086,0.0,bottom
C38,120.523,-66.675,0.0,bottom
C39,115.824,-68.072,270.0,bottom
C40,70.231,-26.2005,90.0,bottom
C41,135.001,-36.957,270.0,bottom
C42,135.001,-42.164,90.0,bottom
C43,69.596,-44.196,90.0,bottom
C44,104.267,-39.624,0.0,bottom
C45,70.231,-31.242,90.0,bottom
C46,77.724,-26.162,270.0,bottom
C47,77.724,-31.242,270.0,bottom
C48,111.633,-39.624,0.0,bottom
CN1,75.057,-29.266,270.0,top
CN2,85.979,-29.266,270.0,top
FB2,118.999,-39.924,0.0,bottom
FB3,67.945,-38.1,180.0,bottom
H1,101.292,-70.5195,0.0,top
H2,126.292,-70.5195,0.0,top
J1,113.803604,-82.529997,90.0,top
J3,106.68,-69.088,90.0,bottom
J4,67.31,-49.784,90.0,bottom
J5,111.76,-69.088,90.0,bottom
JP1,67.056,-45.974,270.0,bottom
JP2,128.651,-27.94,270.0,top
JP3,128.651,-35.56,270.0,top
JP4,128.651,-24.13,270.0,top
JP5,128.651,-31.75,270.0,top
LED1,140.321594,-49.775778,0.0,bottom
LED2,151.139436,-49.77624,0.0,bottom
LS1,98.96,-52.277,180.0,top
MIC1,67.672582,-35.082478,270.0,bottom
R1,133.731,-49.911,180.0,bottom
R10,103.124,-36.195,0.0,bottom
R2,125.868263,-64.135,180.0,bottom
R3,125.868263,-61.214,180.0,bottom
R4,135.314763,-61.214,180.0,bottom
R5,135.314763,-64.135,180.0,bottom
R7,124.587,-43.561,0.0,bottom
R8,124.587,-40.894,180.0,bottom
R9,135.001,-29.845,90.0,bottom
RJ1,107.739646,-30.434285,0.0,top
SW1,140.321594,-55.74524,0.0,top
SW2,151.139436,-55.74524,0.0,top
U1,74.408,-40.654,90.0,bottom
U2,81.43,-51.537,270.0,top
U3,147.677272,-34.459442,0.0,top
U4,95.631,-50.165,180.0,bottom
