Designator,Footprint,Quantity,Value,LCSC Part #
"C15, C22, C24, C26, C28, C33, C38, C40, C44, C45, C46, C47",1206,12,10uF,C33546013 
"C23, C25, C27, C29, C30, C31, C34, C35, C37, C39, C41, C42, C43, C48",1206,14,100nF,C24497
CN1,C5155561_AUDIO-TH_PJ-393-8P,1,AUDIO_IN,C5155561 
CN2,C5155561_AUDIO-TH_PJ-393-8P,1,AUDIO_OUT,C5155561
"FB2, FB3",0805,2,BLM21PG221SN1D,C85840
"J3, J5",HexpansionPads1x02,2,Conn_01x02_Pin,
"LED1, LED2",C5378731_LED-SMD_4P-L3_2-W2_8_SK6812MINI-EA,2,SK6812MINI-EA,C5378731
MIC1,C51928208_MIC-SMD_L2_8-W1_9_MSM381ACB026,1,MSM381ACB026,C51928208
"R1, R7, R8",1206,3,470R,C2933707 
"R10, R2, R3, R4, R5",1206,5,4.7k,C2907387 
R9,1206,1,47k,C2933708 
RJ1,C5341200_RJ45-TH_HC-RJ45-5JA-2-6-S,1,HC-RJ45-5JA-2-6-S,C5341200
"SW1, SW2",C318884_SW-SMD_4P-L5_1-W5_1-P3_70-LS6_5-TL_H1_5,2,TS-1187A-B-A-B,C318884
U1,VQFN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm,1,TLV320AIC3100,C478458
U2,C37323747_JOYTICK-TH_YV13S-L7_85-B10KA-60--0-DL01,1,YV13S-L7.85-B10KA(60)-0-DL01,C37323747
U4,SOT-223-3_TabPin2,1,AMS1117-1.8,C347220
